zip_code,country,nuts1,nuts2,nuts3,numnuts,nuts_code
1000,BE,1,0,0,1,BE10
1020,BE,1,0,0,1,BE10
1030,BE,1,0,0,1,BE10
1040,BE,1,0,0,1,BE10
1050,BE,1,0,0,1,BE10
1060,BE,1,0,0,1,BE10
1070,BE,1,0,0,1,BE10
1080,BE,1,0,0,1,BE10
1081,BE,1,0,0,1,BE10
1082,BE,1,0,0,1,BE10
1083,BE,1,0,0,1,BE10
1090,BE,1,0,0,1,BE10
1120,BE,1,0,0,1,BE10
1130,BE,1,0,0,1,BE10
1140,BE,1,0,0,1,BE10
1150,BE,1,0,0,1,BE10
1160,BE,1,0,0,1,BE10
1170,BE,1,0,0,1,BE10
1180,BE,1,0,0,1,BE10
1190,BE,1,0,0,1,BE10
1200,BE,1,0,0,1,BE10
1210,BE,1,0,0,1,BE10
1300,BE,3,1,0,1,BE31
1301,BE,3,1,0,1,BE31
1310,BE,3,1,0,1,BE31
1315,BE,3,1,0,1,BE31
1320,BE,3,1,0,1,BE31
1325,BE,3,1,0,1,BE31
1330,BE,3,1,0,1,BE31
1331,BE,3,1,0,1,BE31
1332,BE,3,1,0,1,BE31
1340,BE,3,1,0,1,BE31
1341,BE,3,1,0,1,BE31
1342,BE,3,1,0,1,BE31
1348,BE,3,1,0,1,BE31
1350,BE,3,1,0,1,BE31
1357,BE,3,1,0,1,BE31
1360,BE,3,1,0,1,BE31
1367,BE,3,1,0,1,BE31
1370,BE,3,1,0,1,BE31
1380,BE,3,1,0,1,BE31
1390,BE,3,1,0,1,BE31
1400,BE,3,1,0,1,BE31
1401,BE,3,1,0,1,BE31
1402,BE,3,1,0,1,BE31
1404,BE,3,1,0,1,BE31
1410,BE,3,1,0,1,BE31
1420,BE,3,1,0,1,BE31
1421,BE,3,1,0,1,BE31
1428,BE,3,1,0,1,BE31
1430,BE,3,1,0,1,BE31
1435,BE,3,1,0,1,BE31
1440,BE,3,1,0,1,BE31
1450,BE,3,1,0,1,BE31
1457,BE,3,1,0,1,BE31
1460,BE,3,1,0,1,BE31
